filename,barcode,protocol,batch,total_cycles,max_capacity,min_capacity,initial_capacity,final_capacity,capacity_fade,cycles_to_eol,temp_max_observed,temp_min_observed,temp_mean_observed,ir_max_observed,ir_min_observed,ir_mean_observed
FastCharge_000000_CH19_structure.json,el150800440551,2017-06-30_tests\20170630-4_4C_55per_6C.sdu,Unknown_Batch,491,1.9345720000000002,0.82366771,1.22503284,0.82366771,0.3276362207563349,336,38.61147689819336,33.86034393310547,36.078125054384685,0.029383694753050804,0.0164349302649498,0.017752745509329735
FastCharge_000001_CH16_structure.json,el150800737229,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,Unknown_Batch,667,1.5517313,0.88052577,1.16048156,0.88052577,0.24124104996549883,552,40.187686920166016,36.33948516845703,38.59954251199291,0.018147699534893036,0.013516996055841446,0.014395766136148522
FastCharge_000001_CH30_structure.json,el150800737366,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,Unknown_Batch,773,1.7674631,0.8801983,1.16717712,1.7674631,-0.514305815042022,704,41.053855895996094,37.26068115234375,39.44421149842335,0.018659405410289764,0.013937968760728836,0.01472789796254806
FastCharge_000001_CH38_structure.json,el150800737234,2018-04-12_batch8\20180412-3_7C_31per_5_9C_newstructure.sdu,Unknown_Batch,542,1.7608931,0.88010961,1.1498653,1.7608931,-0.5313907637703302,484,42.97589874267578,38.84275817871094,41.16478965027306,0.017453249543905258,0.013169404119253159,0.014239271729840894
FastCharge_000002_CH10_structure.json,el150800737329,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,Unknown_Batch,1010,1.7654599999999998,0.8804329,1.16266174,1.7654599999999998,-0.5184640031244167,967,35.640464782714844,33.2571907043457,34.74513006682443,0.017942437902092934,0.01515804510563612,0.015303881059741915
FastCharge_000002_CH18_structure.json,el150800737233,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,Unknown_Batch,829,1.7685081999999999,0.88094097,1.1635544,1.7685081999999999,-0.519918793655028,794,38.11666488647461,34.67677688598633,36.83306524923253,0.01831582561135292,0.015042304992675781,0.015226970906442412
FastCharge_000002_CH26_structure.json,el150800737381,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,Unknown_Batch,1,1.5430456,1.5430456,1.5430456,1.5430456,0.0,1,33.85187911987305,33.85187911987305,33.85187911987305,0.08413675427436829,0.08413675427436829,0.08413675427436829
FastCharge_000002_CH2_structure.json,el150800737315,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,Unknown_Batch,814,1.7703808999999997,0.88059181,1.1630882599999999,1.7703808999999997,-0.5221380533924398,777,39.01765441894531,35.31140899658203,37.53815865106606,0.018534213304519653,0.015206913463771343,0.01539395862723488
FastCharge_000002_CH34_structure.json,el150800737368,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,Unknown_Batch,826,1.7649380000000001,0.88021326,1.1448629399999999,1.7649380000000001,-0.5416151037258663,799,41.063350677490234,36.798316955566406,39.13531399927763,0.018644534051418304,0.015503049828112125,0.015628780970083817
FastCharge_000002_CH42_structure.json,el150800737304,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,Unknown_Batch,1285,1.7621958999999998,0.88079751,1.15839326,1.7621958999999998,-0.5212414996268192,1227,36.24620819091797,34.03369140625,35.352829976953885,0.017329251393675804,0.01525688637048006,0.015456606955756706
FastCharge_000002_CH47_structure.json,el150800737334,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,Unknown_Batch,1936,1.7602967,0.88000458,1.1682333999999999,1.7602967,-0.5068022366078562,1813,40.45947265625,37.184913635253906,39.417908772949346,0.01798068732023239,0.015742944553494453,0.01602128136244964
FastCharge_000002_CH7_structure.json,el150800737367,2018-04-12_batch8\20180412-5C_67per_4C_newstructure.sdu,Unknown_Batch,1047,1.7641558999999998,0.88060749,1.16909136,1.7641558999999998,-0.5089974662031544,995,41.912715911865234,35.89484405517578,39.29211871740128,0.01944890059530735,0.01528196781873703,0.01592816819046351
FastCharge_000003_CH39_structure.json,EL150800460525,2017-05-12_TESTS\20170512-7C-30PER_3_6C.SDU,Unknown_Batch,743,1.6807666,0.87946099,1.19750044,0.87946099,0.2655860819558446,679,40.92720413208008,34.253944396972656,37.8680849036811,0.019491223618388176,0.0,0.017104426546781893
FastCharge_000003_CH40_structure.json,EL150800460622,2017-05-12_TESTS\20170512-7C-30PER_3_6C.SDU,Unknown_Batch,704,1.6770642,0.87909943,1.19212074,0.87909943,0.26257517338386377,636,39.929805755615234,33.962310791015625,36.647558358582586,0.020759668201208115,0.0,0.017463160139000553
FastCharge_000004_CH1_structure.json,EL150800460514,2017-05-12_TESTS\20170512-3_6C-80PER_3_6C.SDU,Unknown_Batch,664,1.2564532,0.87835133,1.06961132,0.87835133,0.1788126083033601,664,38.19690704345703,34.46613693237305,36.36776702375297,0.018683312460780144,0.0,0.017405669319903457
FastCharge_000004_CH2_structure.json,EL150800460486,2017-05-12_TESTS\20170512-3_6C-80PER_3_6C.SDU,Unknown_Batch,983,1.6909004,0.87975174,1.15952076,0.87975174,0.24127987152209326,847,37.86888885498047,33.454166412353516,35.400878723858575,0.01903754472732544,0.0,0.01737589527410384
FastCharge_000004_CH3_structure.json,EL150800460623,2017-05-12_TESTS\20170512-3_6C-80PER_3_6C.SDU,Unknown_Batch,1062,1.6980618000000003,0.87997985,1.1651949000000001,0.87997985,0.24477883485415194,312,39.04987335205078,31.624011993408203,36.108183753019,0.02219201624393463,0.0,0.017451645890619122
FastCharge_000005_CH18_structure.json,el150800460480,2017-06-30_tests\20170630-4_4C_47per_5_5C.sdu,Unknown_Batch,525,1.9526332999999998,0.823026,1.24168232,0.823026,0.33716862458023883,370,41.11843490600586,34.687007904052734,38.956939239501956,0.02992633543908596,0.01669757440686226,0.018198447972536086
FastCharge_000006_CH11_structure.json,el150800737313,2018-04-12_batch8\20180412-5_3C_54per_4C_newstructure.sdu,Unknown_Batch,1064,1.7637105,0.8802734,1.16379964,1.7637105,-0.5154760659661315,1003,40.9868278503418,37.43391418457031,39.977788975364284,0.017965417355298996,0.014931545592844486,0.015220225591709683
