filename,status,total_cycles,initial_capacity
FastCharge_000000_CH19_structure.json,OK,490,1.0480543375015259
FastCharge_000001_CH16_structure.json,OK,666,1.0627496242523193
FastCharge_000001_CH30_structure.json,OK,772,1.0680265426635742
FastCharge_000001_CH38_structure.json,OK,541,1.0521278381347656
FastCharge_000002_CH10_structure.json,OK,1009,1.0680229663848877
FastCharge_000002_CH18_structure.json,OK,828,1.065361738204956
FastCharge_000002_CH26_structure.json,DISCARDED,0,0.0
FastCharge_000002_CH2_structure.json,OK,813,1.0654985904693604
FastCharge_000002_CH34_structure.json,OK,825,1.0470373630523682
FastCharge_000002_CH42_structure.json,OK,1284,1.0606971979141235
FastCharge_000002_CH47_structure.json,OK,1935,1.0706074237823486
FastCharge_000002_CH7_structure.json,OK,1046,1.0706360340118408
FastCharge_000003_CH39_structure.json,OK,742,1.0770535469055176
FastCharge_000003_CH40_structure.json,OK,703,1.0713567733764648
FastCharge_000004_CH1_structure.json,OK,663,1.0230792760849
FastCharge_000004_CH2_structure.json,OK,982,1.0272215604782104
FastCharge_000004_CH3_structure.json,OK,1061,1.032444715499878
FastCharge_000005_CH18_structure.json,OK,524,1.0642656087875366
FastCharge_000006_CH11_structure.json,OK,1063,1.065887451171875
FastCharge_000006_CH19_structure.json,OK,1039,1.0701043605804443
FastCharge_000006_CH27_structure.json,OK,1315,1.066981554031372
FastCharge_000006_CH35_structure.json,OK,989,1.0617409944534302
FastCharge_000006_CH3_structure.json,OK,935,1.0693179368972778
FastCharge_000006_CH43_structure.json,OK,1158,1.0619001388549805
FastCharge_000006_CH48_structure.json,OK,1156,1.0478780269622803
FastCharge_000006_CH8_structure.json,OK,940,1.0702035427093506
FastCharge_000007_CH24_structure.json,OK,876,1.0689737796783447
FastCharge_000007_CH39_structure.json,OK,858,1.0670502185821533
FastCharge_000008_CH47_structure.json,OK,616,1.085336446762085
FastCharge_000008_CH48_structure.json,OK,599,1.0845285654067993
FastCharge_000009_CH4_structure.json,OK,525,1.0683778524398804
FastCharge_000009_CH7_structure.json,OK,488,1.0679633617401123
FastCharge_000009_CH8_structure.json,OK,499,1.0777442455291748
FastCharge_000010_CH44_structure.json,OK,488,1.074277400970459
FastCharge_000011_CH26_structure.json,OK,523,1.0730904340744019
FastCharge_000012_CH13_structure.json,OK,1115,1.063266396522522
FastCharge_000012_CH15_structure.json,OK,827,1.0518758296966553
FastCharge_000012_CH21_structure.json,OK,932,1.0746976137161255
FastCharge_000012_CH23_structure.json,OK,858,1.0737566947937012
FastCharge_000012_CH29_structure.json,OK,1155,1.0723419189453125
FastCharge_000012_CH37_structure.json,OK,850,1.0611181259155273
FastCharge_000012_CH45_structure.json,OK,923,1.05810546875
FastCharge_000012_CH5_structure.json,OK,786,1.0511529445648193
FastCharge_000013_CH13_structure.json,OK,905,1.0757240056991577
FastCharge_000013_CH14_structure.json,OK,788,1.0543867349624634
FastCharge_000014_CH23_structure.json,OK,862,1.081908941268921
FastCharge_000014_CH24_structure.json,OK,857,1.0726957321166992
FastCharge_000015_CH12_structure.json,OK,1267,1.0610630512237549
FastCharge_000015_CH14_structure.json,OK,1048,1.0728899240493774
FastCharge_000015_CH20_structure.json,OK,817,1.0685288906097412
FastCharge_000015_CH22_structure.json,OK,816,1.0661832094192505
FastCharge_000015_CH28_structure.json,OK,1146,1.0684702396392822
FastCharge_000015_CH36_structure.json,OK,1028,1.0724716186523438
FastCharge_000015_CH44_structure.json,OK,1093,1.0637116432189941
FastCharge_000015_CH4_structure.json,OK,796,1.0599104166030884
FastCharge_000016_CH17_structure.json,OK,526,1.0685359239578247
FastCharge_000017_CH17_structure.json,OK,1836,1.0680040121078491
FastCharge_000017_CH1_structure.json,OK,1078,1.062290906906128
FastCharge_000017_CH25_structure.json,OK,1638,1.0615644454956055
