cell_id,barcode,channel,split,cycle_index,dc_internal_resistance,temperature_avg,charge_capacity,charge_energy,coulombic_efficiency_lagged_1,coulombic_efficiency_lagged_2,rul,has_label
1,el150800737229,CH16,train,3,0.013805106,34.040955,1.0625807,3.6907594,0.9996334,0.9996224,-1,0
1,el150800737229,CH16,train,4,0.013809051,34.03909,1.0627699,3.690591,0.9996242,0.9996334,-1,0
1,el150800737229,CH16,train,5,0.013821506,34.028435,1.0627916,3.6902335,0.99972796,0.9996242,-1,0
1,el150800737229,CH16,train,6,0.01381885,33.983177,1.0627515,3.6894732,0.9997366,0.99972796,-1,0
1,el150800737229,CH16,train,7,0.013835202,33.982292,1.0626551,3.6894898,0.9997467,0.9997366,-1,0
1,el150800737229,CH16,train,8,0.013852255,33.982082,1.062596,3.6889822,0.9997241,0.9997467,-1,0
1,el150800737229,CH16,train,9,0.013852833,33.97289,1.0624423,3.6884437,0.9997434,0.9997241,-1,0
1,el150800737229,CH16,train,10,0.013854645,33.971687,1.0623062,3.6875103,0.99988467,0.9997434,-1,0
1,el150800737229,CH16,train,11,0.01388617,33.971687,1.062148,3.686489,0.999861,0.99988467,-1,0
1,el150800737229,CH16,train,12,0.01388113,33.970104,1.0617347,3.6852944,0.9998552,0.999861,-1,0
1,el150800737229,CH16,train,13,0.013878268,33.971687,1.0614188,3.6843834,0.99987304,0.9998552,-1,0
1,el150800737229,CH16,train,14,0.013889088,34.033756,1.0613608,3.683744,0.9997993,0.99987304,-1,0
1,el150800737229,CH16,train,15,0.013878533,34.045048,1.0609648,3.681993,0.9998397,0.9997993,-1,0
1,el150800737229,CH16,train,16,0.0138963405,34.082844,1.0608145,3.6819875,0.9997215,0.9998397,-1,0
1,el150800737229,CH16,train,17,0.013908879,34.10632,1.0605414,3.680681,0.99991256,0.9997215,-1,0
1,el150800737229,CH16,train,18,0.01391535,34.10741,1.0601616,3.6792295,0.99977875,0.99991256,-1,0
1,el150800737229,CH16,train,19,0.013924269,34.126297,1.0599756,3.6786864,0.9997273,0.99977875,-1,0
1,el150800737229,CH16,train,20,0.013925427,34.12639,1.059717,3.677797,0.9997071,0.9997273,-1,0
