filename,total_cycles,init_3_mean,init_3_std,init_3_cv,init_5_mean,init_5_std,init_5_cv,init_10_mean,init_10_std,init_10_cv
FastCharge_000000_CH19_structure.json,490,1.0471641666666667,0.0012291444865796131,0.001173783944968463,1.0480544,0.001459075866430569,0.0013921756985425268,1.0486594599999999,0.0012013261890094927,0.0011455827509623505
FastCharge_000001_CH16_structure.json,666,1.0625391333333332,0.000393466045407866,0.0003703073449855049,1.06274962,0.0003992015751472416,0.00037563088015711696,1.06276046,0.00032317728323633864,0.00030409230997955895
FastCharge_000001_CH30_structure.json,772,1.0679189000000002,7.332862106075371e-05,6.866497171344538e-05,1.06802646,0.0001526731358163525,0.00014294883276239477,1.06830112,0.0003036417751232074,0.0002842286406319665
FastCharge_000001_CH38_structure.json,541,1.0518066,0.0004125730561569422,0.00039225182287023325,1.05212784,0.000509977252826046,0.000484710349291818,1.0523704200000001,0.00043857734506014105,0.0004167518743639155
FastCharge_000002_CH10_structure.json,1009,1.0674376,0.0006990714269657081,0.0006549061293753453,1.0680229600000002,0.0009066575507875025,0.0008489120409803758,1.0689903600000001,0.00118771330901019,0.001111060822859235
FastCharge_000002_CH18_structure.json,828,1.0646716666666667,0.000800488539719344,0.0007518642270490376,1.0653618,0.001054424963664971,0.0009897341576025824,1.06641736,0.0013157404768418448,0.0012337950657909816
FastCharge_000002_CH2_structure.json,813,1.0648597333333332,0.0008174612787296133,0.0007676703824368606,1.0654985799999999,0.0010086043474028614,0.0009466031830871718,1.06636474,0.0011341380817166868,0.0010635554976402227
FastCharge_000002_CH34_structure.json,825,1.0462168666666667,0.0008465016020199891,0.0008091072023308257,1.0470373,0.0012088163880424527,0.0011545112939552896,1.04830342,0.0015511214084010434,0.0014796492874181821
FastCharge_000002_CH42_structure.json,1284,1.0601582666666667,0.0005660223160107556,0.0005339036008184271,1.0606971599999997,0.0008007887926288365,0.0007549645863375713,1.06149841,0.0009879005379591571,0.0009306660553162365
FastCharge_000002_CH47_structure.json,1935,1.0700534,0.0006945494798788681,0.0006490792701363018,1.07060736,0.0008704527755139603,0.0008130457607856913,1.07133612,0.0009643077317952236,0.0009000982173505207
FastCharge_000002_CH7_structure.json,1046,1.0700545666666665,0.0006778509193686448,0.0006334732269590908,1.07063614,0.0008940829773572901,0.0008350950840845799,1.07149662,0.0010754091470692275,0.0010036514600197503
FastCharge_000003_CH39_structure.json,742,1.0761496666666666,0.0016046587307655476,0.0014911111162966004,1.07705356,0.0016662906284319154,0.0015470824203319244,1.07820209,0.0016655534938572161,0.001544750756193782
FastCharge_000003_CH40_structure.json,703,1.0702714000000002,0.0016022127282813488,0.0014970153629082759,1.0713567000000002,0.0018259163398140958,0.001704302908465589,1.07258955,0.0017926446152263101,0.0016713239609935694
FastCharge_000004_CH1_structure.json,663,1.022721566666667,0.0005907495822164615,0.0005776250364425952,1.0230793,0.000643358907609109,0.000628845591548093,1.02336073,0.0005785802209719882,0.0005653727019327663
FastCharge_000004_CH2_structure.json,982,1.0261216,0.0011705103616229762,0.0011407131100475579,1.0272216000000003,0.0016585211195520955,0.0016145699424078455,1.02879457,0.0020116773762460455,0.0019553732444816904
FastCharge_000004_CH3_structure.json,1061,1.0313209333333333,0.0013059916445198384,0.001266329037168616,1.0324448199999998,0.001712050989193966,0.0016582493863390843,1.0337694000000002,0.001826715544905631,0.0017670435446296153
FastCharge_000005_CH18_structure.json,524,1.0632337666666667,0.0016207181542623008,0.0015243290846032832,1.06426558,0.0017890806604510686,0.0016810471879125026,1.0653821300000001,0.0017113262839388854,0.0016063027863428545
